Equipment,Parameter,Range,Frequency,CMC (±),Comments,range_min,range_min_unit,range_max,range_max_unit,frequency_range_min,frequency_range_min_unit,frequency_range_max,frequency_range_max_unit,cmc_base,cmc_multiplier,cmc_mult_unit,cmc_uncertainty_unit
Bore Gages & ID Measuring Tools,3-Point,Up to 4 in,,(36 + 2.3D) µin,Ring gages,,,4,in,,,,,36.0,2.3,D,µin
Bore Gages & ID Measuring Tools,2-Point,Up to 12 in,,(35 + 2.3D) µin,Gage blocks,,,12,in,,,,,35.0,2.3,D,µin
Countersink & Chamfer Gages,,Up to 3.5 in,,(230 + 10D) µin,Modified ring gages,,,3.5,in,,,,,230.0,10.0,D,µin
Coordinate Measuring Machines (CMM),Length Measurement Error (Eₗ),Up to 27 in,,(14 + 5.1L) µin,ASME B89.4.10360.2 Section 6.3.3; Step gage,,,27,in,,,,,14.0,5.1,L,µin
Coordinate Measuring Machines (CMM),Length Measurement Error (Eₗ),Up to 127 in,,(7.8 + 3.8L) µin,ASME B89.4.10360.2 Section 6.3.3; Gage blocks,,,127,in,,,,,7.8,3.8,L,µin
Coordinate Measuring Machines (CMM),Length Measurement Error (Eₗ),Up to 240 in,,(6.1 + 1.2L) µin,ASME B89.4.10360.2 Section 6.3.3; Laser system,,,240,in,,,,,6.1,1.2,L,µin
Coordinate Measuring Machines (CMM),Repeatability (R₀),(10 to 50) mm,,27 µin,ASME B89.4.10360.2 Section 6.1.1; sphere,10,mm,50,mm,,,,,27,0.0,,µin
Spherical CMM (Laser Tracker),,Up to 600 in,,600 µin,Reference length bar,,,600,in,,,,,600,0.0,,µin
Laser Interferometer Length Dependent Error,,Up to 40 in,,0.43 parts in 10,ASME B89.1.8 Sec 4 XD1 reference laser,,,40,in,,,,,0.43,0.0,,parts in 10
Articulated Arm CMM,Effective Dia Perf Test,---,,55 µin,Sphere,,,---,---,,,,,55,0.0,,µin
Articulated Arm CMM,Single Point Articulation Test,---,,90 µin,Trihedral socket,,,---,---,,,,,90,0.0,,µin
Articulated Arm CMM,Volumetric Perf Test,Up to 144 in radius,,(170 + 0.2L) µin,Gage block ref. length,,,144,in radius,,,,,170.0,0.2,L,µin
"CNC, Machine Tools",Repeatability @ 2,---,,18 µin,Laser per ASME B5.54 Sec. 7.3,,,---,---,,,,,18,0.0,,µin
"CNC, Machine Tools",Linear Displacement Accuracy,Up to 260 ft,,(83 + 1.7L) µin,Laser per ASME B5.54 Sec. 7.3,,,260,ft,,,,,83.0,1.7,L,µin
"CNC, Machine Tools",Bi-Directional System Deviation,Up to 260 ft,,85 µin,Laser per ASME B5.54 Sec. 7.7,,,260,ft,,,,,85,0.0,,µin
"CNC, Machine Tools",Reversal Deviation,Up to 260 ft,,90 µin,Laser per ASME B5.54 Sec. 7.7,,,260,ft,,,,,90,0.0,,µin
"CNC, Machine Tools",Bi-Directional Repeatability,Up to 260 ft,,80 µin,Laser per ASME B5.54 Sec. 7.3,,,260,ft,,,,,80,0.0,,µin
Gage Blocks,,Up to 0.1 in,,4 µin,Master gage blocks & amplifier,,,0.1,in,,,,,4,0.0,,µin
Gage Blocks,,(0.1 to 4) in,,(2 + 1.4L) µin,Master gage blocks & amplifier,0.1,in,4,in,,,,,2.0,1.4,L,µin
Gage Blocks,,(4 to 20) in,,(4.3 + 1.4L) µin,Master gage blocks & amplifier,4,in,20,in,,,,,4.3,1.4,L,µin
Micrometers,Linearity,Up to 42 in,,(38 + 2.7L) µin,Gage blocks,,,42,in,,,,,38.0,2.7,L,µin
Micrometers,Parallelism,Up to 42 in,,(31 + 0.25L) µin,Gage blocks,,,42,in,,,,,31.0,0.25,L,µin
Micrometer Standards & Length Artifacts,,Up to 41 in,,(12 + 2.4L) µin,Universal LMS,,,41,in,,,,,12.0,2.4,L,µin
Depth Micrometers & Gages,,Up to 12 in,,(30 + 2.5L) µin,Gage blocks,,,12,in,,,,,30.0,2.5,L,µin
Thread Micrometers,,Up to 6 in,,(92 + 7.4L) µin,Thread plugs,,,6,in,,,,,92.0,7.4,L,µin
