0,1,2,3,4,5
Fluke 5502A,AC Current – Generate,(11 to 20.5) A,(45 to 100) Hz,0.14 % + 5.8 mA,Fluke 5502A
Fluke 5502A,AC Current – Generate,(11 to 20.5) A,100 Hz to 1 kHz,0.17 % + 6.5 mA,Fluke 5502A
Fluke 5502A,AC Current – Generate,(11 to 20.5) A,(1 to 5) kHz,3.5 % + 5.8 mA,Fluke 5502A
Fluke 5502A,AC Current – Generate,(11 to 30) A,(10 to 45) Hz,0.29 % + 0.87 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(11 to 30) A,45 Hz to 1 kHz,0.21 % + 0.9 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(11 to 30) A,(1 to 5) kHz,0.72 % + 12 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(11 to 30) A,(5 to 10) kHz,2.9 % + 58 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(30 to 110) A,(45 to 100) Hz,0.21 % + 12 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(30 to 110) A,100 Hz to 1 kHz,0.23 % + 15 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(30 to 110) A,(1 to 5) kHz,3.5 % + 24 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(110 to 205) A,(45 to 100) Hz,0.24 % + 42 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(110 to 205) A,100 Hz to 1 kHz,0.26 % + 49 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(110 to 205) A,(1 to 5) kHz,3.5 % + 58 mA,Fluke 5502A with 10 turn coil
Fluke 5502A,AC Current – Generate,(60 to 220) A,45 to 100) Hz,0.21 % + 24 mA,Fluke 5502A with 20 turn coil
Fluke 5502A,AC Current – Generate,(60 to 220) A,100 Hz to 1 kHz,0.23 % + 30 mA,Fluke 5502A with 20 turn coil
Fluke 5502A,AC Current – Generate,(60 to 220) A,(1 to 5) kHz,3.5 % + 47 mA,Fluke 5502A with 20 turn coil
Fluke 5502A,AC Current – Generate,(220 to 410) A,(45 to 100) Hz,0.24 % + 84 mA,Fluke 5502A with 20 turn coil
Fluke 5502A,AC Current – Generate,(220 to 410) A,100 Hz to 1 kHz,0.26 % + 98 mA,Fluke 5502A with 20 turn coil
Fluke 5502A,AC Current – Generate,(220 to 410) A,(1 to 5) kHz,3.5 % + 0.12 A,Fluke 5502A with 20 turn coil
Fluke 5502A,AC Current – Generate,(150 to 550) A,(45 to 100) Hz,0.21 % + 59 mA,Fluke 5502A with 50 turn coil
Fluke 5502A,AC Current – Generate,(150 to 550) A,100 Hz to 1 kHz,0.23 % + 74 mA,Fluke 5502A with 50 turn coil
Fluke 5502A,AC Current – Generate,(150 to 550) A,(1 to 5) kHz,3.5 % + 0.12 A,Fluke 5502A with 50 turn coil
Fluke 5502A,AC Current – Generate,(550 to 1025) A,(45 to 100) Hz,0.24 % + 0.21 A,Fluke 5502A with 50 turn coil
Fluke 5502A,AC Current – Generate,(550 to 1025) A,100 Hz to 1 kHz,0.26 % + 0.25 A,Fluke 5502A with 50 turn coil
Fluke 5502A,AC Current – Generate,(550 to 1025) A,(1 to 5) kHz,3.5 % + 0.29 A,Fluke 5502A with 50 turn coil
